Team,Logo,Division,2025 Salary,Min,Average,Max,Min AI,Max AI,ChatGPT,Claude,Deep Seek,Gemini,Meta AI
Yankees,mlb-new-york-yankees-logo-768x768.png,AL East,"$277,979,358",90,98.8,103,Claude,"ChatGPT, Deep Seek",103,90,103,97,101
Red Sox,mlb-boston-red-sox-logo-768x768.png,AL East,"$192,969,093",82,89.4,101,Claude,ChatGPT,101,82,86,85,93
Blue Jays,mlb-toronto-blue-jays-logo-768x768.png,AL East,"$240,842,532",58,84.2,96,ChatGPT,Meta AI,58,86,95,86,96
Orioles,mlb-baltimore-orioles-logo-768x768.png,AL East,"$156,236,000",61,79.8,95,ChatGPT,Deep Seek,61,83,95,83,77
Rays,mlb-tampa-bay-rays-logo-768x768.png,AL East,"$77,116,312",71,75.0,79,Meta AI,Claude,75,79,76,74,71
Twins,mlb-minnesota-twins-logo-768x768.png,AL Central,"$142,490,390",79,80.8,82,ChatGPT,"Gemini, Meta AI",79,80,81,82,82
Guardians,mlb-cleveland-guardians-logo-768x768.png,AL Central,"$98,551,300",75,79.8,83,Gemini,Deep Seek,80,79,83,75,82
Tigers,mlb-detroit-tigers-logo-768x768.png,AL Central,"$142,168,033",67,73.4,79,Meta AI,"Claude, Gemini",69,79,73,79,67
Royals,mlb-kansas-city-royals-logo-768x768.png,AL Central,"$126,106,656",66,72.4,77,ChatGPT,Gemini,66,76,69,77,74
White Sox,mlb-chicago-white-sox-logo-768x768.png,AL Central,"$72,258,625",50,60.6,70,Deep Seek,Claude,59,70,50,60,64
Astros,mlb-Houston-Astros-Logo-768x768.png,AL West,"$194,570,233",86,93.0,99,Claude,ChatGPT,99,86,92,94,94
Rangers,mlb-texas-rangers-logo-768x768.png,AL West,"$216,081,332",83,89.4,98,Claude,Deep Seek,87,83,98,87,92
Angels,mlb-los-angeles-angels-logo-768x768.png,AL West,"$189,958,096",74,81.8,88,Deep Seek,ChatGPT,88,79,74,81,87
Mariners,mlb-seattle-mariners-logo-768x768.png,AL West,"$130,397,814",62,75.2,85,Meta AI,Deep Seek,64,81,85,84,62
Athletics,mlb-athletics-logo-768x768.png,AL West,"$72,810,000",50,63.2,77,Deep Seek,ChatGPT,77,71,50,61,57
Mets,mlb-new-york-mets-logo-768x768.png,NL East,"$322,259,724",92,97.0,105,Claude,Deep Seek,93,92,105,98,97
Phillies,mlb-Philadelphia-Phillies-Logo-768x768.png,NL East,"$283,270,117",90,94.6,105,Meta AI,Deep Seek,91,91,105,96,90
Braves,mlb-atlanta-braves-logo-768x768.png,NL East,"$206,155,000",88,94.4,102,Claude,Deep Seek,95,88,102,95,92
Nationals,mlb-Washington-Nationals-Logo-768x768.png,NL East,"$78,846,023",61,69.6,85,Deep Seek,ChatGPT,85,72,61,64,66
Marlins,mlb-miami-marlins-logo-768x768.png,NL East,"$52,993,725",50,61.4,72,Deep Seek,Claude,67,72,50,58,60
Cubs,mlb-chicago-cubs-logo-768x768.png,NL Central,"$195,663,250",82,88.0,98,Claude,ChatGPT,98,82,87,85,88
Cardinals,mlb-st-louis-cardinals-logo-768x768.png,NL Central,"$142,955,581",79,84.2,92,Deep Seek,Meta AI,90,80,79,80,92
Brewers,mlb-milwaukee-brewers-logo-768x768.png,NL Central,"$108,048,471",77,81.8,90,Deep Seek,Meta AI,83,81,77,78,90
Reds,mlb-cincinnati-reds-logo-768x768.png,NL Central,"$117,966,833",66,72.2,77,Deep Seek,Claude,72,77,66,76,70
Pirates,mlb-pittsburgh-pirates-logo-768x768.png,NL Central,"$87,281,000",56,64.0,74,Meta AI,Claude,63,74,58,69,56
Dodgers,mlb-los-angeles-dodgers-logo-768x768.png,NL West,"$317,487,291",96,102.4,105,Claude,Deep Seek,104,96,105,104,103
Padres,mlb-san-diego-padres-logo-768x768.png,NL West,"$194,431,454",82,87.6,93,ChatGPT,Deep Seek,82,85,93,87,91
Giants,mlb-san-francisco-giants-logo-768x768.png,NL West,"$163,919,524",80,83.8,96,"Deep Seek, Meta AI",ChatGPT,96,81,80,82,80
Diamondbacks,mlb-arizona-diamondbacks-logo-768x768.png,NL West,"$189,794,235",71,82.8,89,ChatGPT,Deep Seek,71,82,89,88,84
Rockies,mlb-colorado-rockies-logo-768x768.png,NL West,"$115,481,986",63,69.4,74,Deep Seek,ChatGPT,74,73,63,65,72
